SampleID	sample_no	group	soil	addition	erosion	country
CZn_shoot_1	1	CZn_shoot	CZn	shoot	n	CZ
CZn_shoot_2	2	CZn_shoot	CZn	shoot	n	CZ
CZn_shoot_3	3	CZn_shoot	CZn	shoot	n	CZ
CZn_shoot_4	4	CZn_shoot	CZn	shoot	n	CZ
CZn_shoot_5	5	CZn_shoot	CZn	shoot	n	CZ
CZn_root_11	11	CZn_root	CZn	root	n	CZ
CZn_root_12	12	CZn_root	CZn	root	n	CZ
CZn_root_13	13	CZn_root	CZn	root	n	CZ
CZn_root_14	14	CZn_root	CZn	root	n	CZ
CZn_root_15	15	CZn_root	CZn	root	n	CZ
CZn_control_31	31	CZn_control	CZn	control	n	CZ
CZn_control_32	32	CZn_control	CZn	control	n	CZ
CZn_control_33	33	CZn_control	CZn	control	n	CZ
CZn_control_34	34	CZn_control	CZn	control	n	CZ
CZn_control_35	35	CZn_control	CZn	control	n	CZ
CZe_shoot_41	41	CZe_shoot	CZe	shoot	e	CZ
CZe_shoot_42	42	CZe_shoot	CZe	shoot	e	CZ
CZe_shoot_43	43	CZe_shoot	CZe	shoot	e	CZ
CZe_shoot_44	44	CZe_shoot	CZe	shoot	e	CZ
CZe_shoot_45	45	CZe_shoot	CZe	shoot	e	CZ
CZe_root_51	51	CZe_root	CZe	root	e	CZ
CZe_root_52	52	CZe_root	CZe	root	e	CZ
CZe_root_53	53	CZe_root	CZe	root	e	CZ
CZe_root_54	54	CZe_root	CZe	root	e	CZ
CZe_root_55	55	CZe_root	CZe	root	e	CZ
CZe_control_71	71	CZe_control	CZe	control	e	CZ
CZe_control_72	72	CZe_control	CZe	control	e	CZ
CZe_control_73	73	CZe_control	CZe	control	e	CZ
CZe_control_74	74	CZe_control	CZe	control	e	CZ
CZe_control_75	75	CZe_control	CZe	control	e	CZ
DEe_shoot_81	81	DEe_shoot	DEe	shoot	e	DE
DEe_shoot_82	82	DEe_shoot	DEe	shoot	e	DE
DEe_shoot_83	83	DEe_shoot	DEe	shoot	e	DE
DEe_shoot_84	84	DEe_shoot	DEe	shoot	e	DE
DEe_shoot_85	85	DEe_shoot	DEe	shoot	e	DE
DEe_root_91	91	DEe_root	DEe	root	e	DE
DEe_root_92	92	DEe_root	DEe	root	e	DE
DEe_root_93	93	DEe_root	DEe	root	e	DE
DEe_root_94	94	DEe_root	DEe	root	e	DE
DEe_root_95	95	DEe_root	DEe	root	e	DE
DEe_control_111	111	DEe_control	DEe	control	e	DE
DEe_control_112	112	DEe_control	DEe	control	e	DE
DEe_control_113	113	DEe_control	DEe	control	e	DE
DEe_control_114	114	DEe_control	DEe	control	e	DE
DEe_control_115	115	DEe_control	DEe	control	e	DE
bla_shoot_121	121	bla_shoot	bla	shoot	bla	bla
bla_shoot_122	122	bla_shoot	bla	shoot	bla	bla
bla_shoot_123	123	bla_shoot	bla	shoot	bla	bla
bla_shoot_124	124	bla_shoot	bla	shoot	bla	bla
bla_shoot_125	125	bla_shoot	bla	shoot	bla	bla
bla_root_131	131	bla_root	bla	root	bla	bla
bla_root_132	132	bla_root	bla	root	bla	bla
bla_root_133	133	bla_root	bla	root	bla	bla
bla_root_134	134	bla_root	bla	root	bla	bla
bla_root_135	135	bla_root	bla	root	bla	bla
bla_control_151	151	bla_control	bla	control	bla	bla
bla_control_152	152	bla_control	bla	control	bla	bla
bla_control_153	153	bla_control	bla	control	bla	bla
bla_control_154	154	bla_control	bla	control	bla	bla
bla_control_155	155	bla_control	bla	control	bla	bla
DEn_shoot_161	161	DEn_shoot	DEn	shoot	n	DE
DEn_shoot_162	162	DEn_shoot	DEn	shoot	n	DE
DEn_shoot_163	163	DEn_shoot	DEn	shoot	n	DE
DEn_shoot_164	164	DEn_shoot	DEn	shoot	n	DE
DEn_shoot_165	165	DEn_shoot	DEn	shoot	n	DE
DEn_root_171	171	DEn_root	DEn	root	n	DE
DEn_root_172	172	DEn_root	DEn	root	n	DE
DEn_root_173	173	DEn_root	DEn	root	n	DE
DEn_root_174	174	DEn_root	DEn	root	n	DE
DEn_root_175	175	DEn_root	DEn	root	n	DE
DEn_control_191	191	DEn_control	DEn	control	n	DE
DEn_control_192	192	DEn_control	DEn	control	n	DE
DEn_control_193	193	DEn_control	DEn	control	n	DE
DEn_control_194	194	DEn_control	DEn	control	n	DE
DEn_control_195	195	DEn_control	DEn	control	n	DE
